,Unnamed: 0,avalanche_obs,comment,documents,group_activity,id,location,location_coords,location_coords_type,location_desc,location_elevation,location_province,num_fatal,num_injured,num_involved,ob_date,snowpack_comment,snowpack_obs,weather_comment,weather_obs,alt_coord
10,10,[],"A party of four were grouped up while moving through terrain below a cliff band. One rider started to move away from the group and appears to have triggered (possibly remotely) an avalanche that came down on the group. One person was fully buried, two were partly buried. The two partly buried victims were able to self-extricate rapidly. The fully buried victim was buried approximately 2 m below the surface together with his sled. The buried victim was located by his companions and uncovered within approximately 10 minutes. Rescue teams were alerted and CPR was performed by the companion group immediately, but unfortunately the victim did not recover.",[],Snowmobiling,62ada927-3b2f-44a7-b765-4372c3886145,Clemina Creek,"[52.561555, -118.950498]",Lat/lng,South of Valemount,,BC,1,0.0,3.0,2018-01-30,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}","[-119.105, 52.565278]"
11,11,"[{'observation_date': '2018-01-08 15:00', 'size': '2.5', 'type': 'S', 'trigger': 'S', 'aspect': 'sw', 'elevation': 1750, 'slab_width': 300, 'slab_thickness': 100}]","Two skiers were caught in an avalanche near the McDermott Cabin 15 km east of Jaffray, BC. One skier was able to prevent himself being buried by the snow by clinging onto a tree but the other was carried down and buried. He was located by his companion but found to be deceased. The survivor was able to report back to the McDermott Cabin where they were staying with a larger party. The fracture line was reported to be 100 cm deep and the avalanche is presumed to have run on the mid-December persistent weak layer. The avalanche was triggered in a slightly steeper, slightly more open part of the slope and propagated upwards into an area that contained moderately dense timber. Slope angle was approximately 33 degrees.",[],Backcountry Skiing,22b949ed-a192-4b28-82d9-760369d617e6,"McDermott Basin, east of Jaffray BC","[49.3564186096191, -115.080596923828]",Lat/Long Decimal Degrees,South of Fernie,1750.0,BC,1,0.0,1.0,2018-01-08,"Moderate, incremental new snow over several days and recent warm temperatures built slab conditions on top of a buried layer of surface hoar from mid-December.","{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'U', 'wind_speed': 'U', 'wind_dir': 'U', 'sky': 'U', 'precip': 'NIL'}","[None, None]"
12,12,"[{'observation_date': '2018-01-05 12:00', 'size': '2', 'type': 'S', 'trigger': 'M', 'aspect': 'U', 'elevation': 80, 'slab_width': None, 'slab_thickness': None}]","A little before noon on January 5th, two recreational snowmobilers doing off-piste riding were doing climbs and playing in the new snow during a storm. They climbed a steep slope of an old gravel pit following each other. The first rider triggered the avalanche when arriving at the top of the slope. The second sledder was hit by the avalanche and carried down. He was destabilized, rolled and ejected from his snowmobile before being completely buried under the snow and his snowmobile, which was also completely buried. He was located by rescue services (police and firefighters) and transported to hospital in a critical condition. He died a few days later.",[],Snowmobiling,455adfa2-0ef6-4c41-b01a-2af0226aa494,Ste-Angele- de-Mérici,"[48.5284194946289, -68.1171569824219]",Lat/Long Decimal Degrees,intersection of Route 132 and Hudon Road,80.0,QC,1,0.0,1.0,2018-01-05,,"{'hs': None, 'hn24': None, 'hst': 60, 'hst_reset': ''}","Storm in progress, about 60cm HST Jan 4-5 at Mont Joli","{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'U', 'wind_speed': 'U', 'wind_dir': 'U', 'sky': 'U', 'precip': 'NIL'}","[-68.085, 48.5261111]"
13,13,"[{'observation_date': '2017-12-31 12:00', 'size': '2.5', 'type': 'S', 'trigger': 'S', 'aspect': 'e', 'elevation': 1950, 'slab_width': 125, 'slab_thickness': 70}]","After skiing the top pitch of the run, a group of six skiers regrouped on an open treed bench to assess the final pitch. The final pitch was skied one at a time. The victim was the fifth person to ski the slope. When the avalanche triggered, the victim was on a steep, partially treed portion of the slope and was skiing over two other skiers’ tracks. One member of the group was standing above the crown and on the bench when the avalanche was triggered (all other skiers were out of the path of the slide). This individual found the victim who was located next to and just uphill of a tree, fully buried. Another rescuer arrived to help unbury her and CPR was administered. She was airlifted to hospital in critical condition and taken off life support a week later due to anoxic brain injury.","[{'title': 'Photo of avalanche', 'source': 'MoTI', 'url': '/public/legacy_doc/18df0a36-cbb8-4e18-9a84-9d7c3e9ca05d/Overview%20Cropped.jpg', 'date': ['2018-01-03']}, {'title': 'Photo of avalanche', 'source': 'MoTI', 'url': '/public/legacy_doc/75f8979e-68c4-49fd-82eb-bbb48d4dd9a2/Trigger%20Point.jpg', 'date': ['2018-01-03']}]",Backcountry Skiing,e9a90226-1774-47f0-8ac7-acafe5eabcde,Kootenay Pass,"[49.0793685913086, -117.064300537109]",Lat/Long Decimal Degrees,Stagleap Park,1950.0,BC,1,0.0,1.0,2017-12-31,Approx 60cm new snow in 5 days building over Nov27 and Dec15 weak layers.,"{'hs': None, 'hn24': 0.0, 'hst': 60, 'hst_reset': ''}",Previous storm had ended 24 hours prior to incident and since the storm end there had been 5cm settlement.,"{'temp_present': -9, 'temp_max': None, 'temp_min': None, 'temp_trend': 'Rising', 'wind_speed': 'L', 'wind_dir': 'sw', 'sky': 'U', 'precip': 'NIL'}","[-114.5713889, 49.3980555]"
14,14,"[{'observation_date': '2017-04-08 15:43', 'size': 'U', 'type': 'U', 'trigger': 'U', 'aspect': 'nw', 'elevation': 1652, 'slab_width': None, 'slab_thickness': None}]","Five snowshoers hiking on Mount Harvey fell to their death when a cornice collapsed close to the summit. The cornice broke away above the steep north west face, plunging almost vertically for approximately 150 m before triggering a size 3 loose wet avalanche on the slope below. The five victims appear to have been swept down with the snow and were discovered buried in the avalanche deposit in the runout zone. The sixth member of the group had become separated from the main group and did not witness the cornice collapse. He met up with another solo hiker and when they discovered evidence of a freshly separated section of cornice deduced the rest of the group must have fallen down the steep NW face. The weather on the day in question was stormy with the freezing level around 900 m.","[{'title': 'View looking up from deposit', 'source': 'Search and Rescue - Horvath photo', 'url': '/public/legacy_doc/6b32ffe8-94f0-4d7d-93fe-2a7ea4423f12/horvath%20photo.jpg', 'date': ['2017-04-09']}]",Snowshoeing & Hiking,6aa34cf6-fd76-4c4e-8db0-b89864d7b245,"Mount Harvey, Lions Bay","[49.4758796691895, -123.206497192383]",Lat/Long Decimal Degrees,,1652.0,BC,5,0.0,5.0,2017-04-08,,"{'hs': None, 'hn24': 40.0, 'hst': 60, 'hst_reset': ''}",60 cm new snow fell in previous 48 hours with strong winds from the SSE.,"{'temp_present': -2, 'temp_max': None, 'temp_min': None, 'temp_trend': 'Steady', 'wind_speed': 'S', 'wind_dir': 's', 'sky': 'X', 'precip': 'S5'}","[None, None]"
15,15,"[{'observation_date': '2017-03-12 00:00', 'size': '2', 'type': 'S', 'trigger': 'U', 'aspect': 'U', 'elevation': 2400, 'slab_width': None, 'slab_thickness': None}]","On Sunday March 12, two people walked up Hector Creek using snowshoes. Approximately 800 meters up the trail they turned and walked up the steep lower bowl of the Mt. Hector approach.

On Tuesday, March 14 they were reported having not checked out from their hotel. A subsequent trailhead search found their vehicle parked at the Hector Creek trailhead. 800 meters up the trail, search and rescue teams found their snowshoe trail leading into a large pile of avalanche debris and one person was observed partially buried.

",[],Snowshoeing & Hiking,181f837b-88a2-45d5-8806-e5225ccf8afe,Mt. Hector - lower part of the drainage just above,"[51.60498046875, -116.298500061035]",Lat/Long Decimal Degrees,Approximately 20 km north of Lake Louise townsite,2400.0,AB,2,0.0,2.0,2017-03-12,Very weak depth hoar base overloaded with 70 cm of storm snow in 10 days then a significant rise in temperature.,"{'hs': None, 'hn24': 4.0, 'hst': 70, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'Rising', 'wind_speed': 'U', 'wind_dir': 'U', 'sky': 'OVC', 'precip': 'S-1'}","[None, None]"
16,16,"[{'observation_date': '2017-03-08 10:59', 'size': '2', 'type': 'S', 'trigger': 'S', 'aspect': 'ne', 'elevation': 2115, 'slab_width': 23, 'slab_thickness': 60}]","An avalanche was triggered that partially buried three members of a group of six, one critically. The deceased suffered trauma. The avalanche is believed to have run on a layer of facets over a thin crust.",[],Mechanized Skiing,6f5503dc-db49-4ed9-830e-855ae37fd55f,Upper Goldstream River,"[-118.115287780762, 51.5820808410645]",,65km north of Revelstoke,2115.0,BC,1,1.0,3.0,2017-03-06,soft slab on thin crust,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}","-9, calm to light winds","{'temp_present': -9, 'temp_max': None, 'temp_min': None, 'temp_trend': 'U', 'wind_speed': 'C', 'wind_dir': 'U', 'sky': 'U', 'precip': 'NIL'}","[None, None]"
17,17,"[{'observation_date': '2017-03-04 11:39', 'size': '2.5', 'type': 'S', 'trigger': 'S', 'aspect': 'nw', 'elevation': 1600, 'slab_width': 150, 'slab_thickness': 100}]","One skier was fully buried in an avalanche that occurred on a slope above Hanging Lake, approximately 10 km northwest of Whistler. The avalanche was reported as a size 2.5, 100-150 m wide, running 400 m, with a crown depth of 80-100 cm. The avalanche occurred on a northwest aspect and slid on a layer of facets over a crust. The victim was the third of a party of six to descend the slope. No other party members were caught in the slide. The victim was located at an elevation of 1400 m; the elevation of the start zone was approximately 1600 m. The victim was washed through a stand of trees during the descent. 

Rescuers were unable to locate the victim using a transceiver search, despite the victim having a transceiver on their person. The transceiver, worn in a hip pocket, was found with the switch in the “search” position, for reasons unknown at this time. The victim deployed an avalanche balloon pack, but it was found to have sustained significant damage. The victim did not employ the pack’s crotch strap. 

Nearby parties as well as search and rescue assisted with the rescue and a probe line was established. The victim was eventually located with the help of a rescue dog approximately four hours after the avalanche occurred. CPR was initiated but the victim was pronounced deceased by a doctor on site.","[{'title': 'photo of avalanche', 'source': 'SAR - Scott Aitken', 'url': '/public/legacy_doc/7f6e46cc-25a6-4935-ab73-09eaa14fc98a/photo1.jpg', 'date': ['2017-03-04']}, {'title': 'photo of avalanche', 'source': 'SAR - Tony Salin', 'url': '/public/legacy_doc/c05ef955-e006-49c6-85b6-2278a2b94318/IMG_9487.jpg', 'date': ['2017-03-04']}, {'title': 'photo of avalanche', 'source': 'SAR - Tony Salin', 'url': '/public/legacy_doc/857427e0-47ca-48b3-8987-c1405b9d8a81/FullSizeRender%20(1).jpg', 'date': ['2017-03-04']}, {'title': 'photo of avalanche', 'source': 'SAR - Scott Aitken', 'url': '/public/legacy_doc/75e0664e-f6ea-46eb-8682-e0581604de2f/photo2.jpg', 'date': ['2017-03-04']}, {'title': 'photo of avalanche', 'source': 'SAR - Brian Fishbook', 'url': '/public/legacy_doc/dcb9c591-1477-4323-b8d0-fa73e6b141b2/IMG_0589.jpg', 'date': ['2017-03-04']}]",Backcountry Skiing,3880da2c-4404-4be3-b30d-bc130c9220d9,"Hanging Lake, Callaghan Valley near Whistler","[50.1490707397461, -123.082099914551]",Lat/Long Decimal Degrees,,1600.0,BC,1,0.0,1.0,2017-03-04,Avalanche ran on a crust with faceted/mixed form layer,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",Storm had come through area afternoon and evening of Mar 3,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'U', 'wind_speed': 'L', 'wind_dir': 'U', 'sky': 'SCT', 'precip': 'NIL'}","[None, None]"
18,18,[],"Truck driver outside vehicle, hit by snow blower which was pushed by avalanche from piled snow.",[],Work,25ae1cb7-d05d-4f37-80a5-d25d2ac4ec28,Trois Rivieres,"[46.343, 72.5421]",Lat/lng,Highway,,QC,1,0.0,1.0,2017-01-26,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': None}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': None, 'wind_speed': None, 'wind_dir': None, 'sky': None, 'precip': None}","[-72.55, 46.35]"
19,19,"[{'observation_date': '2017-01-21 09:00', 'size': '2', 'type': 'S', 'trigger': 'S', 'aspect': 'sw', 'elevation': 2100, 'slab_width': 40, 'slab_thickness': 40}]","Three skiers spaced out riding slope, third person triggered the slope. One person ""wrapped around a tree"" was on the surface in the track. One person partially buried with injuries, one person partially buried with fatal injuries.",[],Backcountry Skiing,02e20779-5ec5-402c-b463-79f5c37e96c3,"Ymir, Qua Peak","[-117.11011505127, 49.3909301757812]",Lat/Long Decimal Degrees,,2100.0,BC,1,1.0,3.0,2017-01-21,Run / slope skied previous day.,"{'hs': None, 'hn24': None, 'hst': 40, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'Rising', 'wind_speed': 'C', 'wind_dir': 'U', 'sky': 'OVC', 'precip': 'NIL'}","[None, None]"
20,20,"[{'observation_date': '2016-12-30 13:45', 'size': '2', 'type': 'S', 'trigger': 'M', 'aspect': 'ne', 'elevation': 2250, 'slab_width': 250, 'slab_thickness': 80}]","One person stuck on slope. Two others went to help, rode above stuck person, and triggered avalanche. Stuck person fully buried, deceased. One partially buried, required assistance. one partially buried, self extricated.

Slab was estimated 60-120cm thick.","[{'title': 'NC PAF', 'source': 'AvCan', 'url': '/public/legacy_doc/f15081ad-1be8-448f-83aa-02ebc1697dc0/2016%2012%2029%20NorthColumbia%20PAF.pdf', 'date': ['2016-12-30']}]",Snowmobiling,92402335-894f-4998-b1d0-3ab5e7049011,Clemina Creek,"[52.5596389770508, -118.94450378418]",Lat/Long Decimal Degrees,Morning Glory Bowl,2250.0,BC,1,0.0,3.0,2016-12-30,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': 'U', 'wind_speed': 'U', 'wind_dir': 'U', 'sky': 'U', 'precip': 'NIL'}","[-119.105, 52.565278]"
21,21,"[{'observation_date': '2016-09-25 09:00', 'size': '1', 'type': 'S', 'trigger': 'S', 'aspect': 'e', 'elevation': 2850, 'slab_width': 30, 'slab_thickness': 20}]","Two skiers ascending Mt. Victoria to ski The Sickle. Approached via The Deathtrap and once above the big cliffs they contoured back above those cliffs until below The Sickle ski line. Skiers began ascending in deteriorating conditions. At approximately 2875 m, the skiers stopped and decided to retreat due to poor conditions and hand shears they did not like. The first skier began descending while the second skier was a few minutes behind him. When the second skier was descending he could see no sign of his partner and then skied over the bed surface of a small wind slab. He continued to descend, following their up track and once back into The Deathtrap, he located his friend on the surface of the snow at the base of a 75 m cliff. Second skier then descended for help.",[],Backcountry Skiing,0169d024-fa0b-4076-8064-2e557c9fc305,Mt. Victoria - The Sickle into The Deathtrap,"[51.3706016540527, -116.290199279785]",Lat/Long Decimal Degrees,,2850.0,AB,1,0.0,1.0,2016-09-25,"Amounts given above are estimates only. Since the end of August it has been snowing in alpine areas and we estimate >100 cm of snow over the month prior to this avalanche. Combined with strong winds the day before and the morning of the avalanche, this has created windslabs in alpine areas.","{'hs': None, 'hn24': 10.0, 'hst': 40, 'hst_reset': ''}",Poor weather that morning. Overcast and windy.,"{'temp_present': -3, 'temp_max': None, 'temp_min': None, 'temp_trend': 'Falling', 'wind_speed': 'M', 'wind_dir': 'sw', 'sky': 'OVC', 'precip': 'S-1'}","[None, None]"
